name,zone,category,top,numunits,tenure,preview,booking,psf,notes,link,tenderdate,type,use,landsize,gfa,glslink,dev,landprice,psfgfa,devlink
Corals At Keppel Bay,,RCR - [D04],,366,99,,,,Public,https://share.ecoprop.com/Corals-At-Keppel-Bay/R065963D,,,,,,,,,,
Cape Royale,,CCR - [D04],2013,302,99,,,,Public,https://share.ecoprop.com/Cape-Royale/R065963D,,,,,,,,,,
Reflections At Keppel Bay,,RCR - [D04],,1129,99,,,,Public,https://share.ecoprop.com/Reflections-At-Keppel-Bay/R065963D,,,,,,,,,,
Seascape,,CCR - [D04],,151,99,,,,Public,https://share.ecoprop.com/Seascape/R065963D,,,,,,,,,,
Turquoise,,CCR - [D04],,91,99,,,,Public,https://share.ecoprop.com/Turquoise/R065963D,,,,,,,,,,
The Reef at King's Dock,,RCR - [D04],,429,99,,,,Public,https://share.ecoprop.com/The-Reef-at-King's-Dock/R065963D,,,,,,,,,,
Blossoms by The Park Slim Barracks Rise (Parcel A),West,RCR - [D05],,265,99,,,,Above $2100 ,https://share.ecoprop.com/tbc/R065963D,1/10/2021,Residential with commercial on 1st storey,,,,,EL Development,,1246,
Parc Clematis,,OCR - [D05],,1468,99,,,,Public,https://share.ecoprop.com/Parc-Clematis/R065963D,,,,,,,,,,
Terra Hill,,RCR - [D05],,270,Freehold,,,,Public,https://share.ecoprop.com/Terra-Hill/R065963D,,,,,,,,,,
Canninghill Piers,,RCR - [D06],,696,99,,,,Public,https://share.ecoprop.com/Canninghill-Piers/R065963D,,,,,,,,,,
Piccadilly Grand,,RCR - [D08],,407,99,,,,Public,https://share.ecoprop.com/Piccadilly-Grand/R065963D,,,,,,,,,,
Hill House,,CCR - [D09],,72,999,,,,Public,https://share.ecoprop.com/Hill-House/R065963D,,,,,,,,,,
Irwell Hill Residences,,CCR - [D09],,540,99,,,,Public,https://share.ecoprop.com/Irwell-Hill-Residences/R065963D,,,,,,,,,,
Reignwood Hamilton Scotts,,CCR - [D09],,56,Freehold,,,,Public,https://share.ecoprop.com/Reignwood-Hamilton-Scotts/R065963D,,,,,,,,,,
Sophia Regency,,CCR - [D09],,38,Freehold,,,,Public,https://share.ecoprop.com/Sophia-Regency/R065963D,,,,,,,,,,
The Avenir,,CCR - [D09],,376,Freehold,,,,Public,https://share.ecoprop.com/The-Avenir/R065963D,,,,,,,,,,
The Ritz-Carlton Residences,,CCR - [D09],,58,Freehold,,,,Public,https://share.ecoprop.com/The-Ritz-Carlton-Residences/R065963D,,,,,,,,,,
The Atelier,,CCR - [D09],2024,120,Freehold,,,,Public,https://share.ecoprop.com/The-Atelier/R065963D,,,,,,,,,,
15 Holland Hill,,CCR - [D10],,57,Freehold,,,,Public,https://share.ecoprop.com/15-Holland-Hill/R065963D,,,,,,,,,,
Cuscaden Reserve,,CCR - [D10],,192,99,,,,Public,https://share.ecoprop.com/Cuscaden-Reserve/R065963D,,,,,,,,,,
Dalvey Haus,,CCR - [D10],,27,Freehold,,,,Public,https://share.ecoprop.com/Dalvey-Haus/R065963D,,,,,,,,,,
Grange 1866,,CCR - [D10],2026,60,Freehold,,,,Public,https://share.ecoprop.com/Grange-1866/R065963D,,,,,,,,,,
Hyll on Holland,,CCR - [D10],,319,Freehold,,,,Public,https://share.ecoprop.com/Hyll-on-Holland/R065963D,,,,,,,,,,
Jervois Prive,,CCR - [D10],,43,Freehold,,,,Public,https://share.ecoprop.com/Jervois-Prive/R065963D,,,,,,,,,,
Les Maisons Nassim,,CCR - [D10],,14,Freehold,,,,Public,https://share.ecoprop.com/Les-Maisons-Nassim/R065963D,,,,,,,,,,
Nouvel 18,,CCR - [D10],,156,Freehold,,,,Public,https://share.ecoprop.com/Nouvel-18/R065963D,,,,,,,,,,
10 Evelyn,,CCR - [D11],,56,Freehold,,,,Public,https://share.ecoprop.com/10-Evelyn/R065963D,,,,,,,,,,
Neu at Novena,,CCR - [D11],,340,Freehold,,,,Public,https://share.ecoprop.com/Neu-at-Novena/R065963D,,,,,,,,,,
Peak Residence,,CCR - [D11],,90,Freehold,,,,Public,https://share.ecoprop.com/Peak-Residence/R065963D,,,,,,,,,,
Gems Ville,,RCR - [D14],,24,Freehold,,,,Public,https://share.ecoprop.com/Gems-Ville/R065963D,,,,,,,,,,
Zyanya,,RCR - [D14],,34,Freehold,,,,Public,https://share.ecoprop.com/Zyanya/R065963D,,,,,,,,,,
Atlassia,,RCR - [D15],,39,Freehold,,,,Public,https://share.ecoprop.com/Atlassia/R065963D,,,,,,,,,,
K Suites,,RCR - [D15],,19,Freehold,,,,Public,https://share.ecoprop.com/K-Suites/R065963D,,,,,,,,,,
LIV@MB,,RCR - [D15],2024,298,99,,,,Public,https://share.ecoprop.com/LIV-MB/R065963D,,,,,,,,,,
Tembusu Grand Jalan Tembusu,East,RCR - [D15],2026,638,99,,,,$2300 - $2400 ,https://share.ecoprop.com/tbc/R065963D,1/1/2022,,,,,,City Developments,,1302,
Sky Eden @ Bedok,,OCR - [D16],,158,99,,,,Public,https://share.ecoprop.com/Sky-Eden-Bedok/R065963D,,,,,,,,,,
Tenet,,OCR - [D18],,618,99,,,,Public,https://share.ecoprop.com/Tenet/R065963D,,,,,,,,,,
Bartley Vue,,RCR - [D19],,115,99,,,,Public,https://share.ecoprop.com/Bartley-Vue/R065963D,,,,,,,,,,
Belgravia Ace,,OCR - [D27],,107,Freehold,,,,Public,https://share.ecoprop.com/Belgravia-Ace/R065963D,,,,,,,,,,
North Gaia,,OCR - [D27],,616,99,,,,Public,https://share.ecoprop.com/North-Gaia/R065963D,,,,,,,,,,
"Pinetree Hill [D21] (30,32, 36 Pinegrove)",West,OCR - [D21],Q3 2027,520,99,29/6/2023,,,$2250 - $2380 . Located within the Mount Sinai/Pandan Valley private residential enclave. Pinetree Hill is surrounded by reputable education institutions and notably within 1km radius to Henry Park Primary School and Pei Tong Primary School. Close proximity to business hubs – one-north and Science Park as well as retail and lifestyle amenities at Holland Village Dempsey Hill and Orchard Road shopping belt. Pinetree Hill is an elevated sanctuary offering panoramic views of lush greenery and the city skyline. Choice units from one- to five-bedroom and exclusive penthouse unit equipped with smart and safe home features. Condominium housing development comprising 3 blocks of 24-storey residential building with basement carpark swimming pool communal facilities and landscaped deck on Lot 07402W MK04 at Pine Grove (Bukit Timah Planning Area) ,https://share.ecoprop.com/Pinetree-Hill/R065963D,1/6/2022,Residential,,,,,UOL,,1318,https://www.uol.com.sg/our-business/residential/?project=pinetree-hill-launching-soon
The Myst (800/802 Upper Bukit Timah Road),West,OCR - [D23],Q1 2029,408,99,24/6/2023,,,Lush greenery: Upper Bukit Timah is home to a number of parks and nature reserves• Abundance of amenities: Upper Bukit Timah is well-served by a variety of amenities• Excellent schools: Along Upper Bukit Timah to Bukit Timah Road one can find many reputable schools. A location where parents love to stay at.• Excellent connectivity: MRT (Downtown Line) BKE PIE are easily to access.• Desirable residential areas in Singapore: An address that many love to have.,https://share.ecoprop.com/the-myst/R065963D,,,,,,,CDL,,,
Grand Dunman Dunman Rd,East,RCR - [D15],2026,1008,99,1/7/2023,,,,,1/6/2022,,,,,,SingHaiyi,,1351,
The LakeGarden Residences [D22] Yuan Ching Rd,West,,,306,99,,,,Soon... see link,https://share.ecoprop.com/the-lakegarden-residences/R065963D,1/1/2000,,,,,,,,,
