name,zone,category,tenderdate,type,use,tenure,landsize,gfa,top,glslink,notes
RESIDENTIAL APARTMENTS,RCR - [D14],,1/7/2021,,Apartment,Freehold,,,,,LORONG 4 GEYLANG
RESIDENTIAL APARTMENTS,RCR - [D14],,1/4/2021,,Apartment,Freehold,,,,,LORONG 32 GEYLANG
RESIDENTIAL APARTMENTS,CCR - [D10],,1/4/2021,,Apartment,Freehold,,,,,ROBIN DRIVE
LANDED HOUSING DEVELOPMENT,OCR - [D28],,1/1/2021,,Terrace House,999 yrs lease commencing from 1879,,,,,JALAN TARI SERIMPI
LANDED HOUSING DEVELOPMENT,RCR - [D15],,1/11/2021,,Terrace House,Freehold,,,,,DUKU ROAD
LANDED HOUSING DEVELOPMENT,RCR - [D15],,1/11/2021,,Terrace House,Freehold,,,,,DUKU ROAD
LANDED HOUSING DEVELOPMENT,RCR - [D15],,1/11/2021,,Terrace House,Freehold,,,,,DUKU ROAD
LANDED HOUSING DEVELOPMENT,RCR - [D13],,1/7/2018,,Terrace House,9999 yrs lease commencing from 1966,,,,,WOODSVILLE CLOSE
LANDED HOUSING DEVELOPMENT,RCR - [D15],,1/10/2022,,Terrace House,Freehold,,,,,CEYLON ROAD
LANDED HOUSING DEVELOPMENT,OCR - [D19],,1/10/2021,,Terrace House,999 yrs lease commencing from 1876,,,,,CHIAP GUAN AVENUE
LANDED HOUSING DEVELOPMENT,RCR - [D15],,1/5/2020,,Semi-Detached House,Freehold,,,,,BRANKSOME ROAD
LANDED HOUSING DEVELOPMENT,CCR - [D9],,1/2/2021,,Detached House,999 yrs lease commencing from 1841,,,,,INSTITUTION HILL
LANDED HOUSING DEVELOPMENT,OCR - [D19],,1/11/2021,,Semi-Detached House,Freehold,,,,,MARLENE AVENUE
LANDED HOUSING DEVELOPMENT,CCR - [D11],,1/5/2023,,Detached House,Freehold,,,,,BARKER ROAD
LANDED HOUSING DEVELOPMENT,RCR - [D5],,1/11/2022,,Detached House,Freehold,,,,,PASIR PANJANG ROAD
LANDED HOUSING DEVELOPMENT,CCR - [D10],,1/3/2021,,Detached House,Freehold,,,,,LEEDON ROAD
LANDED HOUSING DEVELOPMENT,CCR - [D11],,1/12/2021,,Detached House,Freehold,,,,,GILSTEAD ROAD
LANDED HOUSING DEVELOPMENT,CCR - [D10],,1/6/2018,,Detached House,Freehold,,,,,NASSIM ROAD
RESIDENTIAL APARTMENTS,RCR - [D15],,1/1/2021,,Apartment,Freehold,,,,,ONAN ROAD
RESIDENTIAL APARTMENTS,RCR - [D15],,1/6/2021,,Apartment,Freehold,,,,,JOO CHIAT PLACE
