name,type,zone,category,top,psf1,psf1_date,psf2,psf2_date,notes,link,psf1_max,psf1_max_date,psf2_max,psf2_max_date,psf1_avg,psf1_avg_date,psf2_avg,psf2_avg_date,psf1_new,psf1_new_date,psf2_new,psf2_new_date,psf1_2018,psf1_2018_date,psf2_2018,psf2_2018_date,psf1_2019,psf1_2019_date,psf2_2019,psf2_2019_date,psf1_2020,psf1_2020_date,psf2_2020,psf2_2020_date,psf1_2021,psf1_2021_date,psf2_2021,psf2_2021_date,psf1_2022,psf1_2022_date,psf2_2022,psf2_2022_date,psf1_2023,psf1_2023_date,psf2_2023,psf2_2023_date
# 1 LOFT,Condo,East,RCR - [D14],,1228,1/11/2023,879,1/8/2021,,,1376,1/8/2023,879,1/8/2021,1302,half year,879,no sales,0,NaT,0,NaT,1217,2018,0,no sales,1152,2019,0,no sales,1100,2020,0,no sales,1204,2021,855,2021,1234,2022,0,no sales,1302,2023,0,no sales
# 1 SUITES,Condo,East,RCR - [D14],,1230,1/11/2023,0,no sales,,,1318,1/7/2023,0,no sales,1230,half year,0,no sales,0,NaT,0,no sales,1134,2018,0,no sales,0,no sales,0,no sales,1043,2020,0,no sales,1124,2021,0,no sales,1144,2022,0,no sales,1233,2023,0,no sales
1 KING ALBERT PARK,Condo,West,RCR - [D21],,1602,1/12/2020,1819,1/6/2023,,,1602,1/12/2020,2056,1/11/2022,1602,no sales,1819,no sales,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,1442,2019,1541,2020,1483,2020,0,no sales,1715,2021,0,no sales,1886,2022,0,no sales,1819,2023
1 MOULMEIN RISE,Condo,Central,CCR - [D11],,0,no sales,1923,1/4/2023,,,0,no sales,2100,1/3/2023,0,no sales,1923,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,1882,2019,0,no sales,1858,2020,0,no sales,1918,2021,0,no sales,1882,2022,0,no sales,2000,2023
10 EVELYN,Condo,Central,CCR - [D11],,0,NaT,0,NaT,,,3062,1/5/2023,2340,1/4/2022,2820,half year,2340,no sales,2868,1/12/2023,2340,1/4/2022,2478,2018,0,no sales,2657,2019,0,no sales,2807,2020,0,no sales,2510,2021,2270,2021,2615,2022,2340,2022,2832,2023,0,no sales
10 SHELFORD,Condo,Central,CCR - [D11],,1946,1/11/2023,0,no sales,,,1952,1/10/2023,0,no sales,1930,half year,0,no sales,0,NaT,0,no sales,1843,2018,0,no sales,1723,2019,0,no sales,1050,2020,0,no sales,1565,2021,0,no sales,1605,2022,0,no sales,1822,2023,0,no sales
11 AMBER ROAD,Condo,East,RCR - [D15],,0,no sales,1812,1/7/2022,,,0,no sales,1812,1/7/2022,0,no sales,1812,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,1404,2019,0,no sales,1323,2020,0,no sales,1498,2021,0,no sales,1812,2022,0,no sales,0,no sales
111 EMERALD HILL,Condo,Central,CCR - [D09],,0,no sales,2614,1/2/2023,,,0,no sales,2614,1/2/2023,0,no sales,2614,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,2166,2019,0,no sales,2336,2020,0,no sales,2066,2021,0,no sales,2300,2022,0,no sales,2344,2023
120 GRANGE,Condo,Central,CCR - [D10],,2936,1/11/2023,0,no sales,,,2936,1/11/2023,0,no sales,2936,half year,0,no sales,2815,1/11/2020,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,2766,2020,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,2936,2023,0,no sales
15 HOLLAND HILL,Condo,Central,CCR - [D10],,0,no sales,0,NaT,,,0,no sales,3496,1/9/2021,0,no sales,2710,half year,0,no sales,2710,1/8/2023,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,2864,2020,0,no sales,3035,2021,0,no sales,3066,2022,0,no sales,2910,2023
16 @ AMBER,Condo,East,RCR - [D15],,1760,1/8/2023,0,no sales,,,1822,1/4/2021,0,no sales,1760,half year,0,no sales,0,NaT,0,no sales,1670,2018,0,no sales,1622,2019,0,no sales,0,no sales,0,no sales,1735,2021,0,no sales,1648,2022,0,no sales,1760,2023,0,no sales
18 SHELFORD,Condo,Central,CCR - [D11],,0,no sales,1951,1/7/2023,,,0,no sales,2016,1/6/2023,0,no sales,1951,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1652,2021,0,no sales,1841,2022,0,no sales,1984,2023
18 WOODSVILLE,Condo,East,RCR - [D13],,1680,1/11/2023,1245,1/7/2021,,,1858,1/8/2022,1245,1/7/2021,1680,half year,1245,no sales,0,NaT,0,NaT,1756,2018,0,no sales,1626,2019,0,no sales,1481,2020,0,no sales,1474,2021,1245,2021,1672,2022,0,no sales,1676,2023,0,no sales
183 LONGHAUS,Condo,North,RCR - [D20],,1774,1/6/2023,1607,1/12/2022,,,1858,1/3/2023,1607,1/12/2022,1774,no sales,1607,no sales,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1467,2021,0,no sales,1698,2022,1607,2022,1793,2023,0,no sales
19 NASSIM,Condo,Central,CCR - [D10],,0,NaT,0,NaT,,,3876,1/1/2023,3906,1/2/2023,3282,half year,3510,half year,3565,1/12/2023,3454,1/12/2023,0,no sales,0,no sales,0,no sales,0,no sales,3351,2020,3401,2020,3510,2021,3751,2021,0,no sales,0,no sales,3401,2023,3650,2023
1919,Condo,Central,CCR - [D09],,2283,1/8/2023,1588,1/9/2022,,,2283,1/8/2023,1588,1/9/2022,2226,half year,1588,no sales,0,NaT,0,NaT,0,no sales,0,no sales,1846,2019,0,no sales,1891,2020,0,no sales,1986,2021,1574,2021,2041,2022,1588,2022,2162,2023,0,no sales
1953,Condo,Central,RCR - [D08],,0,NaT,0,NaT,,,2113,1/5/2022,2018,1/12/2022,2113,no sales,2011,no sales,2113,1/5/2022,2011,1/1/2023,0,no sales,0,no sales,1852,2019,1846,2019,1893,2020,0,no sales,1902,2021,1752,2021,2002,2022,1893,2022,0,no sales,1858,2023
2 RVG,Condo,Central,CCR - [D09],,2052,1/3/2022,0,no sales,,,2069,1/10/2021,0,no sales,2052,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1925,2020,0,no sales,2040,2021,0,no sales,2052,2022,0,no sales,0,no sales,0,no sales
21 RICHARDS,Condo,Northeast,OCR - [D19],,1579,1/7/2023,1290,1/6/2023,,,1748,1/6/2023,1299,1/3/2022,1579,no sales,1290,no sales,0,NaT,0,NaT,1126,2018,0,no sales,1201,2019,0,no sales,1287,2020,1197,2020,1452,2021,0,no sales,0,no sales,1299,2022,1664,2023,1290,2023
24 ONE RESIDENCES,Condo,West,RCR - [D05],,2029,1/6/2023,1620,1/11/2022,,,2029,1/6/2023,1620,1/11/2022,2029,no sales,1620,no sales,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1689,2021,0,no sales,1961,2022,1620,2022,1976,2023,0,no sales
26 NEWTON,Condo,Central,CCR - [D11],,2312,1/9/2023,1829,1/11/2021,,,2730,1/8/2018,2000,1/7/2018,2312,half year,1829,no sales,0,NaT,0,NaT,2667,2018,2000,2018,2265,2019,0,no sales,2307,2020,0,no sales,2299,2021,1829,2021,2122,2022,0,no sales,2240,2023,0,no sales
28 IMPERIAL RESIDENCES,Condo,East,RCR - [D14],,1631,1/10/2023,0,no sales,,,1654,1/4/2023,0,no sales,1464,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,1326,2019,0,no sales,1316,2020,0,no sales,1199,2021,0,no sales,0,no sales,0,no sales,1511,2023,0,no sales
28 RC SUITES,Condo,Central,RCR - [D08],,1659,1/11/2023,0,no sales,,,1742,1/7/2023,0,no sales,1659,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1460,2021,0,no sales,1537,2022,0,no sales,1708,2023,0,no sales
28 SHELFORD,Condo,Central,CCR - [D11],,1870,1/8/2022,1691,1/8/2019,,,1870,1/8/2022,1691,1/8/2019,1870,no sales,1691,no sales,0,NaT,0,NaT,1647,2018,1588,2018,1632,2019,1690,2019,0,no sales,0,no sales,1610,2021,0,no sales,1870,2022,0,no sales,0,no sales,0,no sales
283 STUDIO,Condo,Central,CCR - [D09],,1953,1/10/2023,0,no sales,,,1953,1/10/2023,0,no sales,1953,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1953,2023,0,no sales
3 CUSCADEN,Condo,Central,CCR - [D10],,3982,1/2/2023,3982,1/2/2023,,,4241,1/2/2022,3689,1/3/2022,3982,no sales,3689,no sales,4241,1/2/2022,3689,1/3/2022,0,no sales,0,no sales,3589,2019,0,no sales,3792,2020,0,no sales,4067,2021,0,no sales,4058,2022,3688,2022,3982,2023,0,no sales
3 ORCHARD BY-THE-PARK,Condo,Central,CCR - [D10],,0,no sales,3886,1/8/2023,,,0,no sales,4805,1/6/2019,0,no sales,3886,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,3744,2019,0,no sales,3470,2020,0,no sales,3426,2021,0,no sales,3701,2022,0,no sales,3787,2023
33 RESIDENCES,Condo,East,RCR - [D14],,1472,1/6/2022,1472,1/6/2022,,,1695,1/6/2018,1498,1/6/2018,1472,no sales,1498,no sales,1596,1/12/2018,1498,1/6/2018,1610,2018,1498,2018,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1472,2022,0,no sales,0,no sales,0,no sales
35 GILSTEAD,Condo,Central,CCR - [D11],,0,NaT,0,NaT,,,2789,1/2/2020,2577,1/6/2019,2221,no sales,2391,no sales,2221,1/3/2023,2391,1/12/2022,0,no sales,0,no sales,2583,2019,2420,2019,2617,2020,2559,2020,2560,2021,2450,2021,2591,2022,2267,2022,2368,2023,0,no sales
368 THOMSON,Condo,Central,CCR - [D11],,1884,1/10/2023,1953,1/8/2023,,,1927,1/7/2023,1961,1/6/2023,1884,half year,1953,half year,0,NaT,0,NaT,1663,2018,1558,2018,1587,2019,1505,2019,1613,2020,1584,2020,1639,2021,1788,2021,1808,2022,1919,2022,1853,2023,1957,2023
38 I SUITES,Condo,East,RCR - [D15],,1769,1/11/2023,1250,1/12/2021,,,1798,1/8/2023,1250,1/12/2021,1784,half year,1250,no sales,0,NaT,0,NaT,1603,2018,0,no sales,1544,2019,0,no sales,1528,2020,883,2020,1553,2021,1103,2021,1693,2022,0,no sales,1765,2023,0,no sales
38 JERVOIS,Condo,Central,CCR - [D10],,2576,1/6/2021,1802,1/6/2020,,,2576,1/6/2021,1802,1/6/2020,2576,no sales,1802,no sales,2492,1/6/2019,0,NaT,0,no sales,0,no sales,2492,2019,0,no sales,2076,2020,1795,2020,2576,2021,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales
3@PHILLIPS,Condo,Northeast,OCR - [D19],,1097,1/4/2022,1369,1/10/2023,,,1097,1/4/2022,1369,1/10/2023,1097,no sales,1369,half year,0,NaT,0,NaT,1008,2018,899,2018,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1097,2022,945,2022,0,no sales,1369,2023
3@SANDILANDS,Condo,Northeast,OCR - [D19],,1168,1/11/2021,901,1/11/2020,,,1246,1/7/2018,901,1/11/2020,1168,no sales,901,no sales,0,NaT,0,NaT,1153,2018,0,no sales,0,no sales,0,no sales,1079,2020,901,2020,1168,2021,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales
448@EAST COAST,Condo,East,OCR - [D15],,1553,1/12/2023,1084,1/7/2021,,,1616,1/11/2021,1084,1/7/2021,1553,half year,1084,no sales,0,NaT,0,NaT,1367,2018,0,no sales,1231,2019,0,no sales,1579,2020,0,no sales,1616,2021,1084,2021,0,no sales,0,no sales,1553,2023,0,no sales
57 @ KOVAN,Condo,Northeast,OCR - [D19],,0,no sales,1394,1/8/2023,,,0,no sales,1394,1/8/2023,0,no sales,1394,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,865,2019,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1163,2022,0,no sales,1394,2023
6 DERBYSHIRE,Condo,Central,CCR - [D11],,1943,1/8/2023,2174,1/2/2023,,,2254,1/8/2022,2248,1/10/2022,1943,half year,2174,no sales,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,1817,2019,1812,2020,0,no sales,2112,2021,2156,2021,2092,2022,2248,2022,1943,2023,2174,2023
76 SHENTON,Condo,Central,CCR - [D02],,2091,1/10/2023,0,no sales,,,2210,1/4/2023,0,no sales,2091,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,1819,2019,0,no sales,1837,2020,0,no sales,1893,2021,0,no sales,1953,2022,0,no sales,1989,2023,0,no sales
77 @ EAST COAST,Condo,East,OCR - [D15],,0,NaT,0,NaT,,,1897,1/9/2020,1687,1/1/2022,1778,no sales,1687,no sales,1778,1/6/2022,1687,1/1/2022,0,no sales,0,no sales,0,no sales,0,no sales,1758,2020,0,no sales,1773,2021,1655,2021,1776,2022,1659,2022,0,no sales,0,no sales
8 @ MOUNT SOPHIA,Condo,Central,CCR - [D09],,1482,1/9/2023,1592,1/10/2023,,,1635,1/7/2022,1841,1/6/2022,1442,half year,1561,half year,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,1447,2019,1518,2020,1373,2020,1506,2021,1524,2021,1571,2022,1418,2022,1453,2023,1585,2023
8 BASSEIN,Condo,Central,CCR - [D11],,1924,1/8/2023,1067,1/7/2019,,,1950,1/9/2022,1067,1/7/2019,1874,half year,1067,no sales,0,NaT,0,NaT,1832,2018,0,no sales,1806,2019,1067,2019,1725,2020,0,no sales,1748,2021,0,no sales,1887,2022,0,no sales,1870,2023,0,no sales
8 EDEN GROVE,Condo,Northeast,OCR - [D19],,1166,1/2/2021,1245,1/3/2023,,,1166,1/2/2021,1245,1/3/2023,1166,no sales,1245,no sales,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1166,2021,0,no sales,0,no sales,1177,2022,0,no sales,1245,2023
8 FARRER SUITES,Condo,Central,RCR - [D08],,1769,1/7/2023,1456,1/8/2023,,,1769,1/7/2023,1456,1/8/2023,1769,no sales,1456,half year,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,1596,2020,0,no sales,1622,2021,0,no sales,1643,2022,1346,2022,1750,2023,1456,2023
8 HULLET,Condo,Central,CCR - [D09],,0,NaT,0,no sales,,,3698,1/7/2019,0,no sales,3180,no sales,0,no sales,3180,1/4/2022,0,no sales,0,no sales,0,no sales,3698,2019,0,no sales,0,no sales,0,no sales,3671,2021,0,no sales,3022,2022,0,no sales,0,no sales,0,no sales
8 NAPIER,Condo,Central,CCR - [D10],,0,no sales,3368,1/11/2023,,,0,no sales,3385,1/10/2022,0,no sales,3348,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,2832,2019,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,3314,2022,0,no sales,3348,2023
8 RAJA,Condo,Central,RCR - [D12],,0,no sales,1324,1/8/2021,,,0,no sales,1368,1/4/2021,0,no sales,1324,no sales,0,no sales,0,NaT,0,no sales,1255,2018,0,no sales,1285,2019,0,no sales,1209,2020,0,no sales,1238,2021,0,no sales,0,no sales,0,no sales,0,no sales
8 RODYK,Condo,Central,CCR - [D09],,2149,1/1/2022,2445,1/10/2023,,,2205,1/4/2021,2445,1/10/2023,2149,no sales,2394,half year,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,2177,2021,2034,2021,2149,2022,2178,2022,0,no sales,2394,2023
8 SAINT THOMAS,Condo,Central,CCR - [D09],,3134,1/4/2023,2614,1/7/2021,,,3535,1/10/2019,3716,1/1/2020,3134,no sales,2614,no sales,0,NaT,0,NaT,0,no sales,0,no sales,3148,2019,3086,2019,2967,2020,2788,2020,2929,2021,2689,2021,0,no sales,0,no sales,3134,2023,0,no sales
833 M B RESIDENCES,Condo,East,RCR - [D15],,1133,1/10/2022,0,no sales,,,1542,1/5/2022,0,no sales,1133,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,1025,2019,0,no sales,0,no sales,0,no sales,1498,2021,0,no sales,1338,2022,0,no sales,0,no sales,0,no sales
8@WOODLEIGH,Condo,East,RCR - [D13],,1818,1/11/2023,1731,1/7/2023,,,1838,1/10/2023,1731,1/7/2023,1777,half year,1731,no sales,0,NaT,0,NaT,1503,2018,1355,2018,1270,2019,1364,2019,1348,2020,1310,2020,1451,2021,1428,2021,1594,2022,1532,2022,1726,2023,1731,2023
8M RESIDENCES,Condo,East,RCR - [D15],,2206,1/12/2023,1323,1/5/2022,,,2261,1/4/2023,1323,1/5/2022,2002,half year,1323,no sales,0,NaT,0,NaT,2129,2018,0,no sales,0,no sales,0,no sales,2025,2020,0,no sales,2133,2021,0,no sales,2116,2022,1323,2022,2052,2023,0,no sales
91 MARSHALL,Condo,East,RCR - [D15],,1712,1/5/2022,1361,1/8/2022,,,1712,1/5/2022,1361,1/8/2022,1712,no sales,1361,no sales,0,NaT,0,NaT,1563,2018,0,no sales,1672,2019,0,no sales,1593,2020,0,no sales,1617,2021,1208,2021,1706,2022,1361,2022,0,no sales,0,no sales
A TREASURE TROVE,Condo,Northeast,OCR - [D19],,1429,1/8/2023,1293,1/12/2023,,,1474,1/6/2023,1518,1/8/2023,1429,half year,1337,half year,0,NaT,0,NaT,1097,2018,1049,2018,1132,2019,1097,2019,1149,2020,1050,2020,1163,2021,1084,2021,1293,2022,1230,2022,1421,2023,1366,2023
AALTO,Condo,East,RCR - [D15],,0,no sales,2499,1/11/2023,,,0,no sales,2599,1/11/2021,0,no sales,2538,half year,0,no sales,0,NaT,0,no sales,1879,2018,0,no sales,1906,2019,0,no sales,2040,2020,0,no sales,2085,2021,0,no sales,2154,2022,0,no sales,2458,2023
ADAM PARK CONDOMINIUM,Condo,Central,CCR - [D11],,2018,1/8/2023,1996,1/4/2023,,,2018,1/8/2023,1996,1/4/2023,2018,half year,1996,no sales,0,NaT,0,NaT,1558,2018,0,no sales,0,no sales,1204,2019,1587,2020,1279,2020,0,no sales,1389,2021,1722,2022,1722,2022,2018,2023,1996,2023
ADAM PLACE,Condo,Central,CCR - [D11],,1333,1/11/2019,1675,1/7/2021,,,1399,1/4/2019,1675,1/7/2021,1333,no sales,1675,no sales,0,NaT,0,NaT,0,no sales,0,no sales,1366,2019,0,no sales,0,no sales,0,no sales,0,no sales,1675,2021,0,no sales,0,no sales,0,no sales,0,no sales
ADANA @ THOMSON,Condo,North,OCR - [D20],,1914,1/12/2023,1650,1/9/2019,,,1933,1/8/2023,1650,1/9/2019,1924,half year,1650,no sales,1588,1/7/2018,0,NaT,1588,2018,0,no sales,0,no sales,1650,2019,1754,2020,0,no sales,1761,2021,0,no sales,1857,2022,0,no sales,1880,2023,0,no sales
ADRIA,Condo,Central,CCR - [D11],,2171,1/6/2023,2130,1/11/2023,,,2171,1/6/2023,2130,1/11/2023,2171,no sales,2130,half year,0,NaT,0,NaT,1944,2018,1766,2018,1779,2019,1740,2019,1778,2020,1689,2020,1832,2021,1840,2021,2074,2022,2022,2022,2171,2023,2066,2023
AFFINITY AT SERANGOON,Condo,Northeast,OCR - [D19],,1839,1/12/2023,1839,1/12/2023,,,1991,1/11/2023,1900,1/8/2023,1795,half year,1782,half year,1748,1/7/2022,1560,1/6/2022,1527,2018,1527,2018,1509,2019,1490,2019,1581,2020,1448,2020,1616,2021,1524,2021,1700,2022,1538,2022,1782,2023,1765,2023
AFFLUENCE COURT,Condo,Northeast,OCR - [D19],,0,no sales,961,1/8/2021,,,0,no sales,993,1/5/2021,0,no sales,961,no sales,0,no sales,0,NaT,0,no sales,776,2018,0,no sales,913,2019,0,no sales,0,no sales,0,no sales,977,2021,0,no sales,0,no sales,0,no sales,0,no sales
AIRSTREAM,Condo,Central,RCR - [D12],,1560,1/7/2023,1038,1/3/2020,,,1687,1/12/2022,1038,1/3/2020,1560,no sales,1038,no sales,0,NaT,0,NaT,1351,2018,0,no sales,1380,2019,0,no sales,1313,2020,1038,2020,1433,2021,0,no sales,1482,2022,0,no sales,1524,2023,0,no sales
ALBA,Condo,Central,CCR - [D09],,0,no sales,3989,1/4/2023,,,0,no sales,4098,1/11/2021,0,no sales,3989,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,3204,2019,0,no sales,0,no sales,0,no sales,2883,2021,0,no sales,0,no sales,0,no sales,3989,2023
ALEGRIA,Condo,Central,CCR - [D11],,1573,1/5/2022,1272,1/12/2020,,,1573,1/5/2022,1504,1/4/2019,1573,no sales,1272,no sales,0,NaT,0,NaT,0,no sales,1376,2018,0,no sales,1504,2019,1316,2020,1272,2020,0,no sales,0,no sales,1573,2022,0,no sales,0,no sales,0,no sales
ALESSANDREA,Condo,Central,RCR - [D03],,0,no sales,1798,1/11/2023,,,0,no sales,1798,1/11/2023,0,no sales,1798,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,1394,2019,0,no sales,1494,2020,0,no sales,1550,2021,0,no sales,1624,2022,0,no sales,1647,2023
ALEX RESIDENCES,Condo,Central,RCR - [D03],,2132,1/12/2023,2155,1/9/2023,,,2323,1/9/2023,2289,1/1/2023,2106,half year,2155,half year,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,1810,2019,1818,2020,1800,2020,1909,2021,0,no sales,1971,2022,2032,2022,2064,2023,2222,2023
ALEXIS,Condo,Central,RCR - [D03],,1883,1/12/2023,1491,1/3/2023,,,1972,1/5/2023,1491,1/3/2023,1635,half year,1491,no sales,0,NaT,0,NaT,0,no sales,0,no sales,1667,2019,0,no sales,1441,2020,0,no sales,1571,2021,1240,2021,1693,2022,1354,2022,1697,2023,1491,2023
ALLSWORTH PARK,Condo,Central,CCR - [D10],,0,no sales,2042,1/9/2023,,,0,no sales,2093,1/4/2023,0,no sales,2042,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,1517,2019,0,no sales,1548,2020,0,no sales,1665,2021,0,no sales,1664,2022,0,no sales,1975,2023
ALPHA APARTMENTS,Condo,East,RCR - [D15],,0,no sales,1129,1/8/2021,,,0,no sales,1129,1/8/2021,0,no sales,1129,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1103,2021,0,no sales,0,no sales,0,no sales,0,no sales
ALTEZ,Condo,Central,CCR - [D02],,1800,1/12/2023,1790,1/3/2023,,,2277,1/9/2019,3351,1/12/2021,1782,half year,1790,no sales,0,NaT,0,NaT,0,no sales,0,no sales,2188,2019,0,no sales,2020,2020,0,no sales,2042,2021,2240,2021,2055,2022,1943,2022,1940,2023,1790,2023
AMANINDA,Condo,Central,CCR - [D11],,1679,1/12/2023,1668,1/9/2022,,,1679,1/12/2023,1757,1/5/2022,1679,half year,1668,no sales,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,1493,2019,0,no sales,1402,2020,1545,2021,1492,2021,0,no sales,1712,2022,1679,2023,0,no sales
AMARANDA GARDENS,Condo,Northeast,OCR - [D19],,1545,1/9/2021,1991,1/11/2023,,,1562,1/8/2021,1991,1/11/2023,1545,no sales,1991,half year,0,NaT,0,NaT,1363,2018,1406,2018,0,no sales,1487,2019,0,no sales,1500,2020,1541,2021,1532,2021,0,no sales,1718,2022,0,no sales,1991,2023
AMARYLLIS VILLE,Condo,Central,CCR - [D11],,1950,1/11/2023,2020,1/9/2023,,,1950,1/11/2023,2044,1/4/2023,1885,half year,1939,half year,0,NaT,0,NaT,1595,2018,1608,2018,1490,2019,1551,2019,1538,2020,1611,2020,1674,2021,1698,2021,1817,2022,1818,2022,1884,2023,1949,2023
AMBER 45,Condo,East,RCR - [D15],,2716,1/5/2023,2787,1/10/2023,,,2716,1/5/2023,2787,1/10/2023,2716,no sales,2787,half year,2110,1/7/2019,2406,1/1/2021,2340,2018,2210,2018,2223,2019,2129,2019,0,no sales,2235,2020,2575,2021,2343,2021,0,no sales,2461,2022,2696,2023,2633,2023
AMBER PARK,Condo,East,RCR - [D15],,2951,1/11/2023,2951,1/11/2023,,,3085,1/10/2023,2960,1/8/2021,2948,half year,2951,half year,2508,1/4/2023,1956,1/6/2023,0,no sales,0,no sales,2488,2019,2476,2019,2477,2020,2440,2020,2474,2021,2428,2021,2538,2022,2488,2022,2779,2023,2448,2023
AMBER POINT,Condo,East,RCR - [D15],,0,no sales,2158,1/10/2023,,,0,no sales,2158,1/10/2023,0,no sales,2144,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,1657,2019,0,no sales,0,no sales,0,no sales,1606,2021,0,no sales,1696,2022,0,no sales,2144,2023
AMBER RESIDENCES,Condo,East,RCR - [D15],,0,no sales,2116,1/11/2023,,,0,no sales,2116,1/11/2023,0,no sales,2069,half year,0,no sales,0,NaT,0,no sales,1846,2018,0,no sales,1558,2019,0,no sales,1582,2020,0,no sales,1684,2021,0,no sales,1757,2022,0,no sales,2042,2023
AMBER SKYE,Condo,East,RCR - [D15],,0,no sales,1429,1/10/2023,,,0,no sales,2305,1/1/2023,0,no sales,1812,half year,0,no sales,0,NaT,0,no sales,2102,2018,0,no sales,2024,2019,0,no sales,1670,2020,0,no sales,1803,2021,0,no sales,2061,2022,0,no sales,1933,2023
AMO RESIDENCE,Condo,North,OCR - [D20],,0,NaT,0,NaT,,,2356,1/7/2022,2443,1/11/2023,2289,no sales,2443,half year,2289,1/9/2022,2443,1/11/2023,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,2121,2022,2103,2022,0,no sales,2288,2023
AMPAS APARTMENTS,Condo,Central,RCR - [D12],,0,no sales,1366,1/3/2023,,,0,no sales,1366,1/3/2023,0,no sales,1366,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1350,2022,0,no sales,1366,2023
ANGULLIA PARK RESIDENCES @ ORCHARD,Condo,Central,CCR - [D10],,2509,1/5/2022,2494,1/3/2023,,,2509,1/5/2022,2647,1/3/2022,2509,no sales,2494,no sales,0,NaT,0,NaT,0,no sales,0,no sales,2298,2019,0,no sales,0,no sales,0,no sales,0,no sales,2232,2021,2509,2022,2558,2022,0,no sales,2404,2023
AO JIANG APARTMENTS,Condo,East,RCR - [D13],,0,no sales,2235,1/7/2018,,,0,no sales,2235,1/7/2018,0,no sales,2235,no sales,0,no sales,0,NaT,0,no sales,2095,2018,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales
APLETON VIEW,Condo,Central,CCR - [D11],,0,no sales,1997,1/10/2022,,,0,no sales,1997,1/10/2022,0,no sales,1997,no sales,0,no sales,0,NaT,0,no sales,1834,2018,0,no sales,1617,2019,0,no sales,0,no sales,0,no sales,1819,2021,0,no sales,1744,2022,0,no sales,0,no sales
APOLLO GARDENS,Condo,East,OCR - [D16],,0,no sales,1270,1/10/2023,,,0,no sales,1270,1/10/2023,0,no sales,1270,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,875,2019,0,no sales,0,no sales,0,no sales,1037,2021,0,no sales,1041,2022,0,no sales,1270,2023
AQUARINE GARDENS,Condo,East,OCR - [D15],,1406,1/4/2022,1301,1/2/2022,,,1406,1/4/2022,1301,1/2/2022,1406,no sales,1301,no sales,0,NaT,0,NaT,0,no sales,0,no sales,1127,2019,0,no sales,0,no sales,0,no sales,1386,2021,0,no sales,1406,2022,1301,2022,0,no sales,0,no sales
