name,type,zone,category,top,psf1,psf1_date,psf2,psf2_date,notes,link,psf1_max,psf1_max_date,psf2_max,psf2_max_date,psf1_avg,psf1_avg_date,psf2_avg,psf2_avg_date,psf1_new,psf1_new_date,psf2_new,psf2_new_date,psf1_2018,psf1_2018_date,psf2_2018,psf2_2018_date,psf1_2019,psf1_2019_date,psf2_2019,psf2_2019_date,psf1_2020,psf1_2020_date,psf2_2020,psf2_2020_date,psf1_2021,psf1_2021_date,psf2_2021,psf2_2021_date,psf1_2022,psf1_2022_date,psf2_2022,psf2_2022_date,psf1_2023,psf1_2023_date,psf2_2023,psf2_2023_date
EAST MEADOWS,Condo,East,OCR - [D16],,1121,1/8/2022,1217,1/10/2023,,,1121,1/8/2022,1225,1/5/2023,1121,no sales,1220,half year,0,NaT,0,NaT,0,no sales,979,2018,0,no sales,924,2019,0,no sales,929,2020,0,no sales,991,2021,1112,2022,1067,2022,0,no sales,1173,2023
EAST MEWS,Condo,East,RCR - [D15],,0,no sales,1162,1/6/2021,,,0,no sales,1432,1/3/2021,0,no sales,1162,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1331,2021,0,no sales,0,no sales,0,no sales,0,no sales
EAST PALM,Condo,East,OCR - [D15],,0,no sales,1423,1/11/2023,,,0,no sales,1659,1/7/2023,0,no sales,1370,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,1179,2019,0,no sales,1226,2020,0,no sales,1290,2021,0,no sales,1440,2022,0,no sales,1440,2023
EAST SHINE,Condo,East,OCR - [D14],,1143,1/10/2018,1132,1/2/2021,,,1143,1/10/2018,1132,1/2/2021,1143,no sales,1132,no sales,0,NaT,0,NaT,1143,2018,0,no sales,0,no sales,1117,2019,0,no sales,0,no sales,0,no sales,1132,2021,0,no sales,0,no sales,0,no sales,0,no sales
EAST SIGNATURE,Condo,East,OCR - [D15],,0,no sales,1593,1/11/2023,,,0,no sales,1593,1/11/2023,0,no sales,1593,half year,0,no sales,0,NaT,0,no sales,1399,2018,0,no sales,1188,2019,0,no sales,0,no sales,0,no sales,1448,2021,0,no sales,944,2022,0,no sales,1593,2023
EAST TREASURE,Condo,East,OCR - [D15],,0,no sales,1211,1/8/2019,,,0,no sales,1211,1/8/2019,0,no sales,1211,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,1056,2019,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales
EAST VIEW,Condo,East,RCR - [D15],,1428,1/6/2020,1567,1/10/2021,,,1428,1/6/2020,1567,1/10/2021,1428,no sales,1567,no sales,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,1428,2020,1421,2020,0,no sales,1567,2021,0,no sales,0,no sales,0,no sales,0,no sales
EAST VIEW 18,Condo,East,RCR - [D15],,0,no sales,1144,1/2/2023,,,0,no sales,1195,1/6/2022,0,no sales,1144,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1156,2022,0,no sales,1144,2023
EAST VILLAGE,Condo,East,OCR - [D16],,1853,1/7/2023,1019,1/11/2022,,,1853,1/7/2023,1155,1/9/2022,1853,no sales,1019,no sales,0,NaT,0,NaT,0,no sales,929,2018,1334,2019,1020,2019,1281,2020,884,2020,1394,2021,1009,2021,1495,2022,1077,2022,1853,2023,0,no sales
EASTBAY,Condo,East,OCR - [D15],,1496,1/10/2021,1559,1/10/2023,,,1496,1/10/2021,1559,1/10/2023,1496,no sales,1559,half year,0,NaT,0,NaT,1302,2018,0,no sales,1465,2019,0,no sales,1462,2020,1290,2020,1453,2021,1346,2021,0,no sales,1203,2022,0,no sales,1559,2023
EASTCOVE RESIDENCES,Condo,East,OCR - [D15],,0,no sales,1229,1/2/2023,,,0,no sales,1229,1/2/2023,0,no sales,1229,no sales,0,no sales,0,NaT,0,no sales,938,2018,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1229,2023
EASTERN LAGOON,Condo,East,OCR - [D15],,1885,1/12/2023,1611,1/11/2022,,,1885,1/12/2023,1611,1/11/2022,1800,half year,1611,no sales,0,NaT,0,NaT,1455,2018,0,no sales,1317,2019,1248,2019,1201,2020,1428,2020,1483,2021,1330,2021,1639,2022,1564,2022,1793,2023,0,no sales
EASTERN RESIDENCE,Condo,East,OCR - [D15],,0,no sales,1098,1/3/2021,,,0,no sales,1098,1/3/2021,0,no sales,1098,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1098,2021,0,no sales,0,no sales,0,no sales,0,no sales
EASTPAC BUILDING,Condo,Central,RCR - [D12],,0,no sales,697,1/7/2020,,,0,no sales,864,1/6/2018,0,no sales,697,no sales,0,no sales,0,NaT,0,no sales,864,2018,0,no sales,0,no sales,0,no sales,697,2020,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales
EASTPOINT GREEN,Condo,East,OCR - [D18],,1218,1/12/2023,1168,1/9/2023,,,1218,1/12/2023,1184,1/1/2023,1058,half year,1154,half year,0,NaT,0,NaT,842,2018,811,2018,803,2019,785,2019,787,2020,759,2020,823,2021,811,2021,974,2022,1000,2022,1064,2023,1032,2023
EASTSIDE LOFT,Condo,East,RCR - [D15],,0,no sales,1594,1/5/2023,,,0,no sales,1594,1/5/2023,0,no sales,1594,no sales,0,no sales,0,NaT,0,no sales,1286,2018,0,no sales,1307,2019,0,no sales,1240,2020,0,no sales,1286,2021,0,no sales,1512,2022,0,no sales,1594,2023
EASTVILLE APARTMENTS,Condo,East,RCR - [D15],,1491,1/8/2021,1468,1/11/2023,,,1491,1/8/2021,1468,1/11/2023,1491,no sales,1468,half year,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,1458,2020,1299,2020,1491,2021,1364,2021,0,no sales,1428,2022,0,no sales,1468,2023
EASTWIND MANSIONS,Condo,East,RCR - [D15],,1203,1/2/2021,1459,1/10/2023,,,1203,1/2/2021,1459,1/10/2023,1203,no sales,1459,half year,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,980,2019,0,no sales,0,no sales,1203,2021,0,no sales,0,no sales,0,no sales,0,no sales,1449,2023
EASTWOOD CENTRE,Condo,East,OCR - [D16],,918,1/8/2021,873,1/10/2023,,,918,1/8/2021,1058,1/10/2022,918,no sales,873,half year,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,634,2019,0,no sales,640,2020,918,2021,674,2021,0,no sales,942,2022,0,no sales,860,2023
EASTWOOD GREEN,Condo,East,OCR - [D16],,883,1/6/2021,1186,1/9/2023,,,883,1/6/2021,1186,1/9/2023,883,no sales,1141,half year,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,898,2019,0,no sales,906,2020,883,2021,932,2021,0,no sales,1074,2022,0,no sales,1158,2023
EASTWOOD LODGE,Condo,East,OCR - [D16],,1078,1/6/2022,0,no sales,,,1080,1/5/2022,0,no sales,1078,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,993,2021,0,no sales,1079,2022,0,no sales,0,no sales,0,no sales
EASTWOOD REGENCY,Condo,East,OCR - [D16],,1657,1/4/2023,1220,1/6/2023,,,1724,1/3/2023,1220,1/6/2023,1657,no sales,1220,no sales,0,NaT,0,NaT,1283,2018,0,no sales,1385,2019,1059,2019,1448,2020,1010,2020,1532,2021,965,2021,1582,2022,0,no sales,1690,2023,1220,2023
EBER GARDENS,Condo,Central,CCR - [D09],,0,no sales,1636,1/3/2020,,,0,no sales,1636,1/3/2020,0,no sales,1636,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1636,2020,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales
EBONY MANSIONS,Condo,East,OCR - [D15],,1495,1/5/2023,1429,1/6/2022,,,1495,1/5/2023,1429,1/6/2022,1495,no sales,1429,no sales,0,NaT,0,NaT,0,no sales,1091,2018,0,no sales,1161,2019,0,no sales,1098,2020,0,no sales,1301,2021,0,no sales,1429,2022,1495,2023,0,no sales
ECHELON,Condo,Central,RCR - [D03],,2345,1/12/2023,1865,1/9/2023,,,2345,1/12/2023,2118,1/10/2022,2229,half year,1942,half year,0,NaT,0,NaT,0,no sales,0,no sales,2057,2019,1618,2019,1904,2020,1634,2020,1954,2021,1793,2021,2088,2022,1862,2022,2201,2023,1955,2023
ECO,Condo,East,OCR - [D16],,1494,1/12/2023,1356,1/12/2023,,,1585,1/10/2023,1580,1/7/2023,1478,half year,1428,half year,0,NaT,0,NaT,1346,2018,1381,2018,1350,2019,1360,2019,1245,2020,1328,2020,1317,2021,1350,2021,1391,2022,1472,2022,1474,2023,1466,2023
ECO SANCTUARY,Condo,West,OCR - [D23],,1603,1/10/2023,1462,1/11/2023,,,1644,1/5/2023,1548,1/11/2022,1556,half year,1462,half year,0,NaT,0,NaT,1290,2018,1139,2018,1269,2019,0,no sales,1291,2020,1204,2020,1328,2021,1286,2021,1410,2022,1322,2022,1560,2023,1447,2023
ECOVILLE,Condo,Central,RCR - [D12],,0,no sales,1520,1/12/2023,,,0,no sales,1520,1/12/2023,0,no sales,1520,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,1185,2019,0,no sales,1229,2020,0,no sales,1360,2021,0,no sales,0,no sales,0,no sales,1520,2023
EDELWEISS PARK CONDOMINIUM,Condo,East,OCR - [D17],,1044,1/8/2023,1070,1/10/2023,,,1119,1/3/2023,1204,1/8/2023,1044,half year,1096,half year,0,NaT,0,NaT,870,2018,841,2018,808,2019,852,2019,0,no sales,793,2020,897,2021,885,2021,995,2022,996,2022,1087,2023,1087,2023
EDEN,Condo,Central,CCR - [D10],,0,no sales,6024,1/3/2021,,,0,no sales,6024,1/3/2021,0,no sales,6024,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,5164,2021,0,no sales,0,no sales,0,no sales,0,no sales
EDEN CREST,Condo,Northeast,OCR - [D19],,1311,1/10/2021,0,no sales,,,1311,1/10/2021,0,no sales,1311,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1311,2021,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales
EDEN RESIDENCES CAPITOL,Condo,Central,CCR - [D06],,0,no sales,3558,1/4/2023,,,0,no sales,3882,1/9/2022,0,no sales,3558,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,3167,2019,0,no sales,3206,2020,0,no sales,3104,2021,0,no sales,3725,2022,0,no sales,3544,2023
EDEN VIEW,Condo,Northeast,OCR - [D19],,0,no sales,939,1/2/2022,,,0,no sales,1270,1/11/2021,0,no sales,939,no sales,0,no sales,0,NaT,0,no sales,934,2018,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1094,2021,0,no sales,939,2022,0,no sales,0,no sales
EDENZ LOFT,Condo,East,RCR - [D14],,1572,1/9/2023,0,no sales,,,1572,1/9/2023,0,no sales,1543,half year,0,no sales,0,NaT,0,no sales,1274,2018,0,no sales,1314,2019,0,no sales,1215,2020,0,no sales,1229,2021,0,no sales,1360,2022,0,no sales,1545,2023,0,no sales
EDENZ SUITES,Condo,East,RCR - [D14],,1415,1/11/2023,0,no sales,,,1458,1/4/2023,0,no sales,1415,half year,0,no sales,0,NaT,0,no sales,1284,2018,0,no sales,1215,2019,0,no sales,1246,2020,0,no sales,1214,2021,0,no sales,1378,2022,0,no sales,1400,2023,0,no sales
EIGHT COURTYARDS,Condo,North,OCR - [D27],,1138,1/10/2023,1269,1/12/2023,,,1394,1/6/2022,1285,1/10/2023,1167,half year,1250,half year,0,NaT,0,NaT,1002,2018,933,2018,960,2019,962,2019,967,2020,1030,2020,1050,2021,998,2021,1156,2022,1124,2022,1201,2023,1247,2023
EIGHT RIVERSUITES,Condo,Central,RCR - [D12],,1957,1/12/2023,1644,1/11/2023,,,1957,1/12/2023,1792,1/9/2023,1762,half year,1627,half year,0,NaT,0,NaT,1563,2018,1322,2018,1442,2019,1278,2019,1504,2020,1308,2020,1520,2021,1360,2021,1586,2022,1489,2022,1738,2023,1624,2023
EIS RESIDENCES,Condo,East,RCR - [D15],,1574,1/3/2023,824,1/7/2019,,,1574,1/3/2023,824,1/7/2019,1574,no sales,824,no sales,0,NaT,0,NaT,1432,2018,0,no sales,1116,2019,824,2019,0,no sales,0,no sales,1375,2021,0,no sales,1438,2022,0,no sales,1279,2023,0,no sales
ELIAS GREEN,Condo,East,OCR - [D18],,0,no sales,929,1/10/2023,,,0,no sales,929,1/10/2023,0,no sales,929,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,659,2019,0,no sales,666,2020,0,no sales,717,2021,0,no sales,838,2022,0,no sales,884,2023
ELIZABETH HEIGHTS,Condo,Central,CCR - [D09],,0,no sales,2177,1/2/2022,,,0,no sales,2177,1/2/2022,0,no sales,2177,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,1682,2019,0,no sales,1768,2020,0,no sales,1819,2021,0,no sales,2177,2022,0,no sales,0,no sales
ELIZABETH TOWER,Condo,Central,CCR - [D09],,0,no sales,1793,1/9/2023,,,0,no sales,1793,1/9/2023,0,no sales,1793,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,1584,2019,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1793,2023
ELLIOT AT THE EAST COAST,Condo,East,OCR - [D15],,1696,1/7/2021,1797,1/9/2023,,,1696,1/7/2021,1797,1/9/2023,1696,no sales,1797,half year,0,NaT,0,NaT,1581,2018,1144,2018,1634,2019,1432,2019,0,no sales,1222,2020,1614,2021,1448,2021,0,no sales,1478,2022,0,no sales,1797,2023
EMERALD APARTMENTS,Condo,Central,CCR - [D09],,0,no sales,1652,1/11/2020,,,0,no sales,1652,1/11/2020,0,no sales,1652,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1652,2020,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales
EMERALD EAST,Condo,East,RCR - [D15],,1756,1/7/2022,1768,1/8/2023,,,1756,1/7/2022,1768,1/8/2023,1756,no sales,1768,half year,0,NaT,0,NaT,1566,2018,0,no sales,1512,2019,0,no sales,0,no sales,1396,2020,1550,2021,1468,2021,1710,2022,1507,2022,0,no sales,1703,2023
EMERALD GARDEN,Condo,Central,RCR - [D01],,2242,1/10/2023,2425,1/2/2023,,,2242,1/10/2023,2425,1/2/2023,2242,half year,2425,no sales,0,NaT,0,NaT,0,no sales,0,no sales,1955,2019,1935,2019,1880,2020,1884,2020,2064,2021,1989,2021,2099,2022,2010,2022,2242,2023,2425,2023
EMERALD HILL CONSERVATION AREA,Condo,Central,CCR - [D09],,0,no sales,2366,1/9/2023,,,0,no sales,2366,1/9/2023,0,no sales,2366,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1708,2020,0,no sales,0,no sales,0,no sales,1867,2022,0,no sales,2366,2023
EMERALD PARK,Condo,Central,RCR - [D03],,1584,1/12/2023,1608,1/10/2023,,,1584,1/12/2023,1608,1/10/2023,1584,half year,1556,half year,0,NaT,0,NaT,0,no sales,0,no sales,1372,2019,1284,2019,1216,2020,1241,2020,1251,2021,1237,2021,1296,2022,1287,2022,1584,2023,1561,2023
EMERY POINT,Condo,East,RCR - [D15],,0,no sales,1605,1/9/2022,,,0,no sales,1605,1/9/2022,0,no sales,1605,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,1239,2019,0,no sales,1286,2020,0,no sales,1428,2021,0,no sales,1562,2022,0,no sales,0,no sales
EMILY RESIDENCE,Condo,Central,CCR - [D09],,1662,1/3/2023,1138,1/4/2021,,,1662,1/3/2023,1138,1/4/2021,1662,no sales,1138,no sales,0,NaT,0,NaT,0,no sales,0,no sales,1550,2019,0,no sales,0,no sales,0,no sales,1541,2021,1138,2021,1558,2022,0,no sales,1662,2023,0,no sales
EMPRADO SUITES,Condo,East,OCR - [D15],,1552,1/11/2022,1469,1/9/2023,,,1552,1/11/2022,1469,1/9/2023,1552,no sales,1469,half year,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,842,2019,1135,2020,0,no sales,1231,2021,0,no sales,1452,2022,0,no sales,0,no sales,1469,2023
EN FU MANSIONS,Condo,East,RCR - [D14],,0,no sales,1073,1/7/2023,,,0,no sales,1073,1/7/2023,0,no sales,1073,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,854,2021,0,no sales,0,no sales,0,no sales,1032,2023
ENCHANTE,Condo,Central,CCR - [D11],,0,no sales,0,NaT,,,0,no sales,2787,1/8/2022,0,no sales,2725,no sales,0,no sales,2725,1/4/2023,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,2709,2022,0,no sales,2752,2023
ENCHANTÉ,Condo,Central,CCR - [D11],,0,no sales,0,NaT,,,0,no sales,2902,1/7/2023,0,no sales,2813,half year,0,no sales,2831,1/12/2023,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,2835,2023
ENG APARTMENTS,Condo,East,RCR - [D14],,0,no sales,1028,1/10/2020,,,0,no sales,1028,1/10/2020,0,no sales,1028,no sales,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1028,2020,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales
ENG AUN MANSION,Condo,Central,CCR - [D11],,1583,1/4/2022,1387,1/10/2022,,,1583,1/4/2022,1387,1/10/2022,1583,no sales,1387,no sales,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,1262,2020,0,no sales,1376,2021,1341,2021,1583,2022,1387,2022,0,no sales,0,no sales
ENG HOON MANSIONS,Condo,Central,RCR - [D03],,0,no sales,1534,1/12/2023,,,0,no sales,1534,1/12/2023,0,no sales,1534,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,1100,2019,0,no sales,0,no sales,0,no sales,1277,2021,0,no sales,0,no sales,0,no sales,1534,2023
ENG KONG GREEN,Condo,West,RCR - [D21],,1453,1/7/2022,1437,1/3/2023,,,1453,1/7/2022,1437,1/3/2023,1453,no sales,1437,no sales,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1178,2020,1370,2021,0,no sales,1382,2022,1358,2022,0,no sales,1437,2023
ENVIO,Condo,East,OCR - [D15],,1268,1/8/2023,1273,1/5/2023,,,1268,1/8/2023,1557,1/3/2023,1268,half year,1273,no sales,0,NaT,0,NaT,0,no sales,976,2018,0,no sales,1152,2019,0,no sales,1216,2020,0,no sales,1245,2021,0,no sales,1002,2022,1268,2023,1415,2023
EON SHENTON,Condo,Central,CCR - [D02],,2174,1/12/2023,1584,1/11/2023,,,2508,1/5/2021,1956,1/7/2022,2118,half year,1644,half year,0,NaT,0,NaT,0,no sales,0,no sales,2322,2019,0,no sales,0,no sales,0,no sales,2338,2021,0,no sales,2424,2022,1956,2022,2278,2023,1644,2023
EQUATORIAL APARTMENTS,Condo,East,RCR - [D15],,0,no sales,1762,1/10/2023,,,0,no sales,1822,1/8/2023,0,no sales,1792,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,0,no sales,0,no sales,1452,2020,0,no sales,1550,2021,0,no sales,0,no sales,0,no sales,1789,2023
ESCADA VIEW,Condo,East,OCR - [D14],,1181,1/12/2023,1054,1/4/2023,,,1181,1/12/2023,1054,1/4/2023,1136,half year,1054,no sales,0,NaT,0,NaT,977,2018,883,2018,968,2019,0,no sales,895,2020,853,2020,1018,2021,934,2021,1059,2022,0,no sales,1136,2023,1054,2023
ESPA,Condo,West,OCR - [D23],,1526,1/7/2022,1577,1/9/2022,,,1526,1/7/2022,1577,1/9/2022,1526,no sales,1577,no sales,0,NaT,0,NaT,1327,2018,1065,2018,0,no sales,1109,2019,1180,2020,1034,2020,0,no sales,1400,2021,1471,2022,1432,2022,0,no sales,0,no sales
ESPADA,Condo,Central,CCR - [D09],,2346,1/9/2023,0,no sales,,,2700,1/7/2019,0,no sales,2346,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,2362,2019,0,no sales,2203,2020,0,no sales,2396,2021,0,no sales,2432,2022,0,no sales,2487,2023,0,no sales
