name,zone,category,top,psf1,psf2,notes,link,psf1_max,psf2_max,psf1_avg,psf2_avg,psf1_new,psf2_new
MCMAHON PARK,,CCR - [D10],,0,2171,,,0,3196,0,2171,0,0
MELODY VILLAS,,OCR - [D26],,1607,0,,,1607,0,1607,0,0,0
MERA GARDENS,,OCR - [D23],,1379,722,,,1379,919,1379,722,0,0
MERA TERRACE,,OCR - [D16],,2062,1290,,,2062,1449,2062,1290,0,0
MICHAELS' RESIDENCES,,OCR - [D23],,0,1394,,,0,1461,0,1394,0,0
MIMOSA GARDENS,,OCR - [D28],,0,1106,,,0,1106,0,1106,0,0
MIMOSA TERRACE,,OCR - [D28],,2214,1671,,,2214,1671,2214,1671,0,0
MIMOSA VALE,,OCR - [D28],,0,1247,,,0,1247,0,1247,0,0
MIMOSA VILLAS,,OCR - [D28],,0,1278,,,0,1278,0,1278,0,0
MING PARK,,RCR - [D20],,0,1672,,,0,1672,0,1672,0,0
MING TECK PARK,,CCR - [D10],,2840,2258,,,2840,2927,2476,2122,0,0
MIRAMAR GARDENS,,OCR - [D19],,1893,0,,,1893,0,1893,0,0,0
MISTRAL PARK,,OCR - [D16],,1947,872,,,1947,951,1947,872,0,0
MOUNT ECHO PARK,,CCR - [D10],,0,1712,,,0,1712,0,1712,0,0
MOUNT SINAI,,CCR - [D10],,2071,2863,,,2501,2863,2071,2863,0,0
MUGLISTON HILL,,OCR - [D28],,2384,1078,,,2384,1200,2384,1078,0,0
MUGLISTON PARK,,OCR - [D28],,1264,0,,,1264,0,1264,0,0,0
MUN WAH GARDEN,,OCR - [D26],,0,1266,,,0,1960,0,1266,0,0
NANYANG PARK,,OCR - [D19],,0,1767,,,0,2046,0,1767,0,0
NEW SOO CHOW GARDENS,,RCR - [D20],,1865,1874,,,1865,1874,1865,1874,0,0
NIM COLLECTION,,OCR - [D28],,2160,1044,,,2160,1575,2160,1044,1777,1072
NORTHILL,,OCR - [D25],,0,959,,,0,1248,0,959,0,0
OASIS @ MULBERRY,,RCR - [D13],,1897,1878,,,1897,1878,1897,1878,0,0
OCEAN 8,,CCR - [D04],,0,1796,,,0,1836,0,1796,0,0
ODEON SEASIDE PARK,,RCR - [D15],,2313,0,,,2313,0,2313,0,0,0
OEI TIONG HAM PARK,,CCR - [D10],,0,2106,,,0,2106,0,2106,0,0
ONE CHANCERY,,CCR - [D11],,0,0,,,4456,3237,4456,3237,4456,3237
