name,category,street,sale date,tenure,sale price,land size,type
LANDED HOUSING DEVELOPMENT,CCR - [D11],DYSON ROAD\CHANCERY HILL ROAD,1/3/2023,Freehold,61082796,32149,Detached House
RESIDENTIAL APARTMENTS,RCR - [D14],LORONG 4 GEYLANG,1/7/2021,Freehold,3500000,2056,Apartment
RESIDENTIAL APARTMENTS,RCR - [D14],LORONG 32 GEYLANG,1/4/2021,Freehold,4300000,4747,Apartment
RESIDENTIAL APARTMENTS,CCR - [D10],ROBIN DRIVE,1/4/2021,Freehold,16998061,8041,Apartment
LANDED HOUSING DEVELOPMENT,OCR - [D28],JALAN TARI SERIMPI,1/1/2021,999 yrs lease commencing from 1879,2100000,1553,Terrace House
LANDED HOUSING DEVELOPMENT,RCR - [D15],DUKU ROAD,1/11/2021,Freehold,2450000,1743,Terrace House
LANDED HOUSING DEVELOPMENT,RCR - [D15],DUKU ROAD,1/11/2021,Freehold,2450000,1800,Terrace House
LANDED HOUSING DEVELOPMENT,RCR - [D15],DUKU ROAD,1/11/2021,Freehold,2450000,1792,Terrace House
LANDED HOUSING DEVELOPMENT,RCR - [D13],WOODSVILLE CLOSE,1/7/2018,9999 yrs lease commencing from 1966,8400000,3601,Terrace House
LANDED HOUSING DEVELOPMENT,RCR - [D15],CEYLON ROAD,1/10/2022,Freehold,2650000,4004,Terrace House
LANDED HOUSING DEVELOPMENT,OCR - [D19],CHIAP GUAN AVENUE,1/10/2021,999 yrs lease commencing from 1876,6000000,4744,Terrace House
LANDED HOUSING DEVELOPMENT,RCR - [D15],BRANKSOME ROAD,1/5/2020,Freehold,11300061,8639,Semi-Detached House
LANDED HOUSING DEVELOPMENT,CCR - [D9],INSTITUTION HILL,1/2/2021,999 yrs lease commencing from 1841,33597745,8761,Detached House
LANDED HOUSING DEVELOPMENT,OCR - [D19],MARLENE AVENUE,1/11/2021,Freehold,7820000,8870,Semi-Detached House
LANDED HOUSING DEVELOPMENT,CCR - [D11],BARKER ROAD,1/5/2023,Freehold,32201443,14123,Detached House
LANDED HOUSING DEVELOPMENT,RCR - [D5],PASIR PANJANG ROAD,1/11/2022,Freehold,18476166,16380,Detached House
LANDED HOUSING DEVELOPMENT,CCR - [D10],LEEDON ROAD,1/3/2021,Freehold,27793057,18792,Detached House
LANDED HOUSING DEVELOPMENT,CCR - [D11],GILSTEAD ROAD,1/12/2021,Freehold,70010033,43458,Detached House
LANDED HOUSING DEVELOPMENT,CCR - [D10],NASSIM ROAD,1/6/2018,Freehold,218031079,66453,Detached House
RESIDENTIAL APARTMENTS,RCR - [D15],ONAN ROAD,1/1/2021,Freehold,2780000,1983,Apartment
RESIDENTIAL APARTMENTS,RCR - [D15],JOO CHIAT PLACE,1/6/2021,Freehold,1600000,2239,Apartment
