name,zone,category,top,psf1,psf2,notes,link,psf1_max,psf2_max,psf1_avg,psf2_avg,psf1_new,psf2_new
WANDERVALE,,OCR - [D23],,1376,1330, ,https://share.ecoprop.com/WANDERVALE/R065963D,1376,1353,1356,1285,0,0
WATERBAY,,OCR - [D19],,1215,1263, ,https://share.ecoprop.com/WATERBAY/R065963D,1215,1275,1215,1242,0,0
WATERCOLOURS,,OCR - [D18],,1191,1175, ,https://share.ecoprop.com/WATERCOLOURS/R065963D,1191,1175,1110,1101,0,0
WATERWOODS,,OCR - [D19],,1237,1191, ,https://share.ecoprop.com/WATERWOODS/R065963D,1237,1331,1237,1211,0,0
WESTMERE,,OCR - [D22],,0,1037, ,https://share.ecoprop.com/WESTMERE/R065963D,0,1037,0,1020,0,0
WESTWOOD RESIDENCES,,OCR - [D22],,1193,1123, ,https://share.ecoprop.com/WESTWOOD-RESIDENCES/R065963D,1306,1285,1266,1162,0,901
WHITEWATER,,OCR - [D18],,939,995, ,https://share.ecoprop.com/WHITEWATER/R065963D,939,995,939,946,0,0
WINDERMERE,,OCR - [D23],,0,908, ,https://share.ecoprop.com/WINDERMERE/R065963D,0,970,0,831,0,0
WOODSVALE,,OCR - [D25],,0,836, ,https://share.ecoprop.com/WOODSVALE/R065963D,0,876,0,836,0,0
YEW MEI GREEN,,OCR - [D23],,0,1061, ,https://share.ecoprop.com/YEW-MEI-GREEN/R065963D,0,1061,0,904,0,0
